[0.0, 0.0, 0.0]
[0.10000000000000001, 0.0, 0.0]
[0.20000000000000001, array([ 0.52284259]), array([ 0.52090921])]
[0.30000000000000004, array([ 1.87219881]), array([ 0.83995045])]
[0.40000000000000002, array([ 3.41749222]), array([ 1.01487563])]
[0.5, array([ 4.93470536]), array([ 1.06862949])]
[0.60000000000000009, array([ 6.3788973]), array([ 1.01937231])]
[0.70000000000000007, array([ 7.73881923]), array([ 0.86218559])]
[0.80000000000000004, array([ 9.02808334]), array([ 0.62858781])]
[0.90000000000000002, array([ 10.23814715]), array([ 0.32536705])]
[1.0, array([ 11.3881369]), array([-0.00356947])]
[1.1000000000000001, array([ 12.47209797]), array([-0.33685629])]
[1.2000000000000002, array([ 13.50232076]), array([-0.63280309])]
[1.3, array([ 14.47570558]), array([-0.87293371])]
[1.4000000000000001, array([ 15.40593374]), array([-1.02013952])]
[1.5, array([ 16.2884518]), array([-1.07020342])]
[1.6000000000000001, array([ 17.12421919]), array([-1.0221567])]
[1.7000000000000002, array([ 17.93056003]), array([-0.86239269])]
[1.8, array([ 18.69593217]), array([-0.62391363])]
[1.9000000000000001, array([ 19.42213156]), array([-0.33189662])]
[2.0, array([ 20.12693443]), array([ 0.00399952])]
[2.1000000000000001, array([ 20.80267087]), array([ 0.33926606])]
[2.2000000000000002, array([ 21.44256394]), array([ 0.62978046])]
[2.3000000000000003, array([ 22.06382229]), array([ 0.8655175])]
[2.4000000000000004, array([ 22.66946082]), array([ 1.02540315])]
[2.5, array([ 23.2433772]), array([ 1.07192398])]
[2.6000000000000001, array([ 23.79642866]), array([ 1.01153935])]
[2.7000000000000002, array([ 24.34435085]), array([ 0.86805414])]
[2.8000000000000003, array([ 24.86738261]), array([ 0.62955336])]
[2.9000000000000004, array([ 25.37038649]), array([ 0.32365392])]
[3.0, array([ 25.86898177]), array([-0.00154395])]
[3.1000000000000001, array([ 26.34443233]), array([-0.33909461])]
[3.2000000000000002, array([ 26.81877461]), array([-0.62966565])]
[3.3000000000000003, array([ 27.27498467]), array([-0.86662753])]
[3.4000000000000004, array([ 27.71706157]), array([-1.02312647])]
[3.5, array([ 28.15567624]), array([-1.07138147])]
[3.6000000000000001, array([ 28.58026859]), array([-1.02125401])]
[3.7000000000000002, array([ 29.00399235]), array([-0.86165715])]
[3.8000000000000003, array([ 29.41538509]), array([-0.62350508])]
[3.9000000000000004, array([ 29.81387669]), array([-0.33129324])]
[4.0, array([ 30.21861049]), array([ 0.00929024])]
[4.1000000000000005, array([ 30.59884141]), array([ 0.32565546])]
[4.2000000000000002, array([ 30.99103283]), array([ 0.63201134])]
[4.2999999999999998, array([ 31.37961645]), array([ 0.87816706])]
[4.4000000000000004, array([ 31.74402315]), array([ 1.01437383])]
[4.5, array([ 32.11615021]), array([ 1.06697177])]
[4.6000000000000005, array([ 32.49506722]), array([ 1.02875248])]
[4.7000000000000002, array([ 32.85323866]), array([ 0.86875341])]
[4.8000000000000007, array([ 33.19769869]), array([ 0.61150414])]
[4.9000000000000004, array([ 33.55401525]), array([ 0.31341913])]
[5.0, array([ 33.92300334]), array([ 0.00356329])]
[5.1000000000000005, array([ 34.28360117]), array([-0.3141759])]
[5.2000000000000002, array([ 34.62273818]), array([-0.62405366])]
[5.3000000000000007, array([ 34.94872227]), array([-0.88469454])]
[5.4000000000000004, array([ 35.28010383]), array([-1.0483054])]
[5.5, array([ 35.62868763]), array([-1.08623593])]
[5.6000000000000005, array([ 35.99141566]), array([-1.00049988])]
[5.7000000000000002, array([ 36.35306151]), array([-0.81849418])]
[5.8000000000000007, array([ 36.6938881]), array([-0.5797695])]
[5.9000000000000004, array([ 36.99673193]), array([-0.32333157])]
