6.12323399574e-17	-1.0	1.22464679915e-16	-2.0
[  6.12323400e-17]	[-1.]	[  1.22464680e-16]	[-2.]
[  6.12323400e-17]	[-1.]	[  1.22464680e-16]	[-2.]
[  6.12323400e-17]	[-1.]	[  1.22464680e-16]	[-2.]
[  6.12323400e-17]	[-1.]	[  1.22464680e-16]	[-2.]
[  6.12323400e-17]	[-1.]	[  1.22464680e-16]	[-2.]
[  6.12323400e-17]	[-1.]	[  1.22464680e-16]	[-2.]
[  6.12323400e-17]	[-1.]	[  1.22464680e-16]	[-2.]
[  6.12323400e-17]	[-1.]	[  1.22464680e-16]	[-2.]
[  6.12323400e-17]	[-1.]	[  1.22464680e-16]	[-2.]
[  6.12323400e-17]	[-1.]	[  1.22464680e-16]	[-2.]
[  6.12323400e-17]	[-1.]	[  1.22464680e-16]	[-2.]
[  6.12323400e-17]	[-1.]	[  1.22464680e-16]	[-2.]
[  6.12323400e-17]	[-1.]	[  1.22464680e-16]	[-2.]
[  6.12323400e-17]	[-1.]	[  1.22464680e-16]	[-2.]
[ -1.60812265e-16]	[-1.]	[ -3.21624530e-16]	[-2.]
[ -1.60812265e-16]	[-1.]	[ -3.21624530e-16]	[-2.]
[ -1.60812265e-16]	[-1.]	[ -3.21624530e-16]	[-2.]
[ -1.60812265e-16]	[-1.]	[ -3.21624530e-16]	[-2.]
[ -1.60812265e-16]	[-1.]	[ -3.21624530e-16]	[-2.]
[ -1.60812265e-16]	[-1.]	[ -3.21624530e-16]	[-2.]
[ -1.60812265e-16]	[-1.]	[ -3.21624530e-16]	[-2.]
[ -1.60812265e-16]	[-1.]	[ -3.21624530e-16]	[-2.]
[ -1.60812265e-16]	[-1.]	[ -3.21624530e-16]	[-2.]
[ -1.60812265e-16]	[-1.]	[ -3.21624530e-16]	[-2.]
[ -1.60812265e-16]	[-1.]	[ -3.21624530e-16]	[-2.]
[ -1.60812265e-16]	[-1.]	[ -3.21624530e-16]	[-2.]
[  6.12323400e-17]	[-1.]	[  1.22464680e-16]	[-2.]
[  6.12323400e-17]	[-1.]	[ -9.95799250e-17]	[-2.]
[  6.12323400e-17]	[-1.]	[ -9.95799250e-17]	[-2.]
[  6.12323400e-17]	[-1.]	[ -9.95799250e-17]	[-2.]
[  6.12323400e-17]	[-1.]	[ -9.95799250e-17]	[-2.]
[  6.12323400e-17]	[-1.]	[ -9.95799250e-17]	[-2.]
[  6.12323400e-17]	[-1.]	[ -9.95799250e-17]	[-2.]
[  6.12323400e-17]	[-1.]	[ -9.95799250e-17]	[-2.]
[  6.12323400e-17]	[-1.]	[ -9.95799250e-17]	[-2.]
[  6.12323400e-17]	[-1.]	[ -9.95799250e-17]	[-2.]
[  6.12323400e-17]	[-1.]	[ -9.95799250e-17]	[-2.]
[  6.12323400e-17]	[-1.]	[ -9.95799250e-17]	[-2.]
[  6.12323400e-17]	[-1.]	[ -9.95799250e-17]	[-2.]
[  6.12323400e-17]	[-1.]	[ -9.95799250e-17]	[-2.]
[  6.12323400e-17]	[-1.]	[ -9.95799250e-17]	[-2.]
[  6.12323400e-17]	[-1.]	[ -9.95799250e-17]	[-2.]
[  6.12323400e-17]	[-1.]	[ -9.95799250e-17]	[-2.]
[  6.12323400e-17]	[-1.]	[ -9.95799250e-17]	[-2.]
[  6.12323400e-17]	[-1.]	[ -9.95799250e-17]	[-2.]
[  6.12323400e-17]	[-1.]	[ -9.95799250e-17]	[-2.]
[  6.12323400e-17]	[-1.]	[ -9.95799250e-17]	[-2.]
[  6.12323400e-17]	[-1.]	[  1.22464680e-16]	[-2.]
[  6.12323400e-17]	[-1.]	[  1.22464680e-16]	[-2.]
[  6.12323400e-17]	[-1.]	[  1.22464680e-16]	[-2.]
[  6.12323400e-17]	[-1.]	[  1.22464680e-16]	[-2.]
[  6.12323400e-17]	[-1.]	[  1.22464680e-16]	[-2.]
[  6.12323400e-17]	[-1.]	[  1.22464680e-16]	[-2.]
[  6.12323400e-17]	[-1.]	[  3.44509285e-16]	[-2.]
[  6.12323400e-17]	[-1.]	[  3.44509285e-16]	[-2.]
[ -1.60812265e-16]	[-1.]	[ -9.95799250e-17]	[-2.]
[ -1.60812265e-16]	[-1.]	[ -9.95799250e-17]	[-2.]
[ -1.60812265e-16]	[-1.]	[ -9.95799250e-17]	[-2.]
[ -1.60812265e-16]	[-1.]	[  1.22464680e-16]	[-2.]
[ -1.60812265e-16]	[-1.]	[  1.22464680e-16]	[-2.]
[ -1.60812265e-16]	[-1.]	[  1.22464680e-16]	[-2.]
[ -1.60812265e-16]	[-1.]	[  1.22464680e-16]	[-2.]
[ -1.60812265e-16]	[-1.]	[  1.22464680e-16]	[-2.]
[ -1.60812265e-16]	[-1.]	[  1.22464680e-16]	[-2.]
[ -1.60812265e-16]	[-1.]	[  1.22464680e-16]	[-2.]
[ -1.60812265e-16]	[-1.]	[  1.22464680e-16]	[-2.]
[ -1.60812265e-16]	[-1.]	[ -9.95799250e-17]	[-2.]
[ -1.60812265e-16]	[-1.]	[ -9.95799250e-17]	[-2.]
[  6.12323400e-17]	[-1.]	[  3.44509285e-16]	[-2.]
[  6.12323400e-17]	[-1.]	[  3.44509285e-16]	[-2.]
[  6.12323400e-17]	[-1.]	[  3.44509285e-16]	[-2.]
[  6.12323400e-17]	[-1.]	[  1.22464680e-16]	[-2.]
[  6.12323400e-17]	[-1.]	[  1.22464680e-16]	[-2.]
[  6.12323400e-17]	[-1.]	[  1.22464680e-16]	[-2.]
[  6.12323400e-17]	[-1.]	[  1.22464680e-16]	[-2.]
[  6.12323400e-17]	[-1.]	[ -9.95799250e-17]	[-2.]
[  6.12323400e-17]	[-1.]	[ -9.95799250e-17]	[-2.]
[  2.83276945e-16]	[-1.]	[  3.44509285e-16]	[-2.]
[  2.83276945e-16]	[-1.]	[  3.44509285e-16]	[-2.]
[  2.83276945e-16]	[-1.]	[  1.22464680e-16]	[-2.]
[  2.83276945e-16]	[-1.]	[  1.22464680e-16]	[-2.]
[  2.83276945e-16]	[-1.]	[  1.22464680e-16]	[-2.]
[  2.83276945e-16]	[-1.]	[  1.22464680e-16]	[-2.]
[  2.83276945e-16]	[-1.]	[  1.22464680e-16]	[-2.]
[  2.83276945e-16]	[-1.]	[  1.22464680e-16]	[-2.]
[  2.83276945e-16]	[-1.]	[  1.22464680e-16]	[-2.]
[  6.12323400e-17]	[-1.]	[ -3.21624530e-16]	[-2.]
[  6.12323400e-17]	[-1.]	[ -3.21624530e-16]	[-2.]
[  6.12323400e-17]	[-1.]	[ -9.95799250e-17]	[-2.]
[  6.12323400e-17]	[-1.]	[ -9.95799250e-17]	[-2.]
[  6.12323400e-17]	[-1.]	[ -9.95799250e-17]	[-2.]
[  6.12323400e-17]	[-1.]	[ -9.95799250e-17]	[-2.]
[ -1.60812265e-16]	[-1.]	[ -5.43669135e-16]	[-2.]
[ -1.60812265e-16]	[-1.]	[ -3.21624530e-16]	[-2.]
[ -1.60812265e-16]	[-1.]	[ -3.21624530e-16]	[-2.]
[ -1.60812265e-16]	[-1.]	[ -3.21624530e-16]	[-2.]
[ -1.60812265e-16]	[-1.]	[ -3.21624530e-16]	[-2.]
[ -1.60812265e-16]	[-1.]	[ -3.21624530e-16]	[-2.]
